"","year","age_group_5_years","race_eth","first_degree_hx","age_menarche","age_first_birth","BIRADS_breast_density","current_hrt","menopaus","bmi_group","biophx","breast_cancer_history","count"
"1",2015,8,3,0,0,1,3,0,2,9,0,0,15
"2",2014,8,9,0,2,2,2,0,2,1,0,0,2
"3",2017,11,1,1,1,1,3,0,2,9,9,9,2
"4",2014,8,4,0,9,9,2,9,2,4,0,0,1
"5",2017,7,5,1,0,1,2,0,2,2,0,0,2
"6",2015,10,1,0,9,2,2,1,2,4,0,9,1
"7",2017,10,3,0,9,9,2,0,2,1,9,0,1
"8",2016,7,1,0,0,2,4,0,2,9,0,0,1
"9",2016,10,1,1,9,1,2,9,2,9,1,0,1
"10",2016,8,4,0,9,0,1,0,2,2,1,0,1
"11",2017,11,1,1,1,4,2,0,2,1,1,0,4
"12",2014,6,6,0,9,1,3,0,1,1,1,9,1
"13",2017,10,1,0,0,4,2,1,2,9,0,0,1
"14",2017,5,2,1,0,9,2,0,1,4,0,9,1
"15",2017,7,5,0,9,4,4,0,2,9,0,0,2
"16",2017,10,6,0,1,0,2,9,2,1,9,9,3
"17",2014,9,3,1,1,3,2,0,2,2,0,9,1
"18",2015,7,9,0,9,1,2,0,2,1,0,9,1
"19",2014,10,1,1,1,1,9,9,2,9,1,9,1
"20",2013,7,9,0,9,9,3,9,1,3,0,9,1
"21",2017,9,3,0,1,1,2,9,2,2,9,9,1
"22",2017,7,1,9,9,3,2,1,2,2,1,0,1
"23",2014,5,1,1,9,4,3,0,1,1,0,0,68
"24",2016,7,5,1,2,9,2,9,9,9,0,0,1
"25",2016,2,2,0,9,4,2,0,1,9,0,9,3
"26",2015,6,3,0,0,4,4,0,2,1,0,0,2
"27",2016,10,1,0,9,4,1,0,2,1,1,1,1
"28",2014,7,3,0,9,3,9,0,2,1,0,9,2
"29",2015,10,2,0,9,0,3,1,2,1,0,0,1
"30",2013,7,2,0,0,9,2,0,1,1,1,0,1
"31",2015,8,1,0,1,3,1,0,2,3,0,0,20
"32",2014,8,5,0,2,4,2,0,2,3,1,0,1
"33",2017,9,2,1,2,1,2,0,2,4,1,1,2
"34",2015,13,2,0,9,9,3,1,2,9,1,1,1
"35",2015,5,1,0,1,3,1,0,2,4,0,0,1
"36",2013,8,1,1,9,4,2,9,2,2,1,9,1
"37",2015,10,5,1,9,9,1,0,2,2,1,1,1
"38",2016,6,1,1,0,0,4,0,1,1,0,0,2
"39",2016,10,3,9,9,9,3,9,2,9,9,9,2
"40",2016,5,3,1,9,3,3,0,1,1,9,0,1
"41",2013,9,1,0,2,3,1,0,2,1,1,0,1
"42",2017,5,2,0,2,0,3,0,1,3,1,0,2
"43",2013,7,2,0,0,1,2,9,3,4,0,9,1
