"Year","Age_Group","Race_Ethnicity","First_Degree_History","Age_Menarche","Age_First_Birth","Breast_Density","Hormone_Replacement_Therapy","Menopause_Status","BMI_Group","Biopsy_History","Breast_Cancer_History","Count"
2016,"50-54","Hispanic","Yes","12-13",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",1
2014,"70-74","Non-Hispanic White","No",">14","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","Yes",8
2017,"50-54","Hispanic","No","12-13","25-29","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","No","No",4
2014,"55-59","Non-Hispanic White","No","<12",">30","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","Yes","No",2
2014,"65-69","Asian/Pacific Islander","No",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","Yes","No",4
2015,"75-79","Asian/Pacific Islander","No",">14","25-29","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","No",2
2016,"65-69","Asian/Pacific Islander","No","12-13","25-29","Scattered fibroglandular densities","No","Post-menopausal","35+","No","No",2
2015,"35-39","Non-Hispanic Black","Yes",">14","25-29","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","No","No",1
2013,"60-64","Asian/Pacific Islander","Yes",">14","20-24","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","Yes",1
2014,"55-59","Non-Hispanic White","Yes",">14","Nulliparous","Extremely dense","No","Pre- or Peri-menopausal","25-29.99","Yes","No",1
2014,"60-64","Non-Hispanic White","No",">14",">30","Extremely dense","No","Post-menopausal","10-24.99","No","Yes",1
2015,"50-54","Hispanic","No","12-13","25-29","Extremely dense","No","Post-menopausal","10-24.99","No","No",2
2013,"55-59","Hispanic","No",">14",">30","Heterogeneously dense","No","Post-menopausal","25-29.99","No","No",4
2015,"45-49","Non-Hispanic White","No","12-13",">30","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","10-24.99","Yes","No",24
2014,"60-64","Asian/Pacific Islander","Yes","12-13","Nulliparous","Extremely dense","No","Post-menopausal","10-24.99","Yes","No",1
2017,"50-54","Hispanic","Yes","12-13","<20","Scattered fibroglandular densities","No","Surgical Menopause","30-34.99","No","No",2
2014,"40-44","Non-Hispanic White","No",">14","25-29","Heterogeneously dense","No","Pre- or Peri-menopausal","30-34.99","No","No",20
2016,"65-69","Asian/Pacific Islander","Yes","12-13",">30","Almost entirely fat","No","Post-menopausal","30-34.99","No","No",1
2013,"55-59","Asian/Pacific Islander","No",">14",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",7
2015,"55-59","Non-Hispanic Black","Yes","<12","Nulliparous","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","No","No",4
2017,"55-59","Non-Hispanic White","No",">14","Nulliparous","Scattered fibroglandular densities","No","Surgical Menopause","10-24.99","No","No",7
2014,"65-69","Asian/Pacific Islander","No","<12",">30","Scattered fibroglandular densities","No","Post-menopausal","30-34.99","No","No",1
2017,"50-54","Non-Hispanic White","No","<12","<20","Scattered fibroglandular densities","No","Post-menopausal","35+","No","No",2
