"X","Year","Age_Group","Race_Ethnicity","First_Degree_History","Age_Menarche","Age_First_Birth","Breast_Density","Hormone_Replacement_Therapy","Menopause_Status","BMI_Group","Biopsy_History","Breast_Cancer_History","Count"
1730,2013,"55-59","Asian/Pacific Islander","No","12-13","25-29","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","No","No",1
4153,2015,"45-49","Asian/Pacific Islander","No","<12","Nulliparous","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","Yes","No",2
2641,2017,"50-54","Hispanic","No","12-13","20-24","Heterogeneously dense","No","Pre- or Peri-menopausal","10-24.99","Yes","No",1
2364,2015,"50-54","Hispanic","No","12-13","25-29","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","25-29.99","No","No",11
4307,2017,"35-39","Non-Hispanic White","No","12-13","<20","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","30-34.99","Yes","Yes",2
2713,2014,">85","Asian/Pacific Islander","No","<12","20-24","Extremely dense","No","Post-menopausal","10-24.99","Yes","No",1
4931,2014,"65-69","Asian/Pacific Islander","No","12-13",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","No",14
1994,2016,"50-54","Non-Hispanic Black","No","12-13","25-29","Heterogeneously dense","No","Pre- or Peri-menopausal","30-34.99","Yes","Yes",2
82,2014,"75-79","Non-Hispanic White","No","12-13","20-24","Almost entirely fat","No","Post-menopausal","35+","No","Yes",2
4275,2017,"45-49","Non-Hispanic Black","Yes",">14",">30","Scattered fibroglandular densities","No","Pre- or Peri-menopausal","35+","No","No",2
2025,2015,"40-44","Other/Mixed","No","12-13","20-24","Extremely dense","No","Pre- or Peri-menopausal","10-24.99","No","No",2
4661,2013,"55-59","Hispanic","No","12-13","25-29","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","No",2
3626,2016,"80-84","Non-Hispanic White","Yes","12-13",">30","Scattered fibroglandular densities","No","Post-menopausal","25-29.99","No","Yes",1
2728,2014,"65-69","Other/Mixed","No","<12","<20","Scattered fibroglandular densities","Yes","Post-menopausal","30-34.99","No","No",1
1236,2014,"50-54","Non-Hispanic White","No","12-13","<20","Scattered fibroglandular densities","No","Surgical Menopause","30-34.99","No","No",11
1039,2013,"75-79","Other/Mixed","Yes",">14","20-24","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",1
1379,2014,"65-69","Non-Hispanic Black","Yes",">14","25-29","Heterogeneously dense","No","Post-menopausal","25-29.99","Yes","No",1
806,2014,"55-59","Non-Hispanic White","Yes","<12","<20","Heterogeneously dense","No","Post-menopausal","35+","Yes","No",1
3679,2017,"70-74","Asian/Pacific Islander","Yes",">14","Nulliparous","Heterogeneously dense","No","Post-menopausal","10-24.99","Yes","No",1
1716,2014,"60-64","Non-Hispanic Black","Yes",">14","<20","Scattered fibroglandular densities","No","Post-menopausal","10-24.99","Yes","Yes",1
